sensitivity,confidence,runs
0.1,0.2,30
0.1,0.5,30
0.1,0.8,30
0.5,0.2,30
0.5,0.5,30
0.5,0.8,30
0.9,0.2,30
0.9,0.5,30
0.9,0.8,30
